service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
2_SDF,0,0,0,0,0,1,1,20231224,20231224
2_7s7,1,1,1,1,1,1,1,20231224,20231224
2_Dimanche,0,0,0,0,0,0,1,20231224,20231224
3_SDF,0,0,0,0,0,1,1,20231210,20231217
3_7s7,1,1,1,1,1,1,1,20231210,20231217
3_Dimanche,0,0,0,0,0,0,1,20231210,20231217
5_LMJV,1,1,0,1,1,0,0,20231226,20231229
5_LAV,1,1,1,1,1,0,0,20231226,20231229
5_LAS,1,1,1,1,1,1,0,20231226,20231229
5_7s7,1,1,1,1,1,1,1,20231226,20231229
5_Mardi,0,1,0,0,0,0,0,20231226,20231229
5_Mercredi,0,0,1,0,0,0,0,20231226,20231229
5_Jeudi,0,0,0,1,0,0,0,20231226,20231229
5_Vendredi,0,0,0,0,1,0,0,20231226,20231229
5_Lune,0,0,0,1,1,0,0,20231226,20231229
5_MeS,0,0,1,0,0,1,0,20231226,20231229
5_LAJ,1,1,1,1,0,0,0,20231226,20231229
5_MaàV,0,1,1,1,1,0,0,20231226,20231229
6_LMJV,1,1,0,1,1,0,0,20231206,20231222
6_LAV,1,1,1,1,1,0,0,20231206,20231222
6_LAS,1,1,1,1,1,1,0,20231206,20231222
6_7s7,1,1,1,1,1,1,1,20231206,20231222
6_Lundi,1,0,0,0,0,0,0,20231206,20231222
6_Mercredi,0,0,1,0,0,0,0,20231206,20231222
6_Vendredi,0,0,0,0,1,0,0,20231206,20231222
6_Lune,0,0,0,1,1,0,0,20231206,20231222
6_MeS,0,0,1,0,0,1,0,20231206,20231222
6_LAJ,1,1,1,1,0,0,0,20231206,20231222
6_MaàV,0,1,1,1,1,0,0,20231206,20231222
7_LMJV,1,1,0,1,1,0,0,20231205,20231221
7_LAV,1,1,1,1,1,0,0,20231205,20231221
7_LAS,1,1,1,1,1,1,0,20231205,20231221
7_7s7,1,1,1,1,1,1,1,20231205,20231221
7_Mardi,0,1,0,0,0,0,0,20231205,20231221
7_Jeudi,0,0,0,1,0,0,0,20231205,20231221
7_Lune,0,0,0,1,1,0,0,20231205,20231221
7_LAJ,1,1,1,1,0,0,0,20231205,20231221
7_MaàV,0,1,1,1,1,0,0,20231205,20231221
8_LAS,1,1,1,1,1,1,0,20240106,20240106
8_SDF,0,0,0,0,0,1,1,20240106,20240106
8_7s7,1,1,1,1,1,1,1,20240106,20240106
8_Samedi,0,0,0,0,0,1,0,20240106,20240106
8_MeS,0,0,1,0,0,1,0,20240106,20240106
9_LAS,1,1,1,1,1,1,0,20231209,20231223
9_SDF,0,0,0,0,0,1,1,20231209,20231223
9_7s7,1,1,1,1,1,1,1,20231209,20231223
9_Samedi,0,0,0,0,0,1,0,20231209,20231223
9_MeS,0,0,1,0,0,1,0,20231209,20231223
13_LMJV,1,1,0,1,1,0,0,20240102,20240105
13_LAV,1,1,1,1,1,0,0,20240102,20240105
13_LAS,1,1,1,1,1,1,0,20240102,20240105
13_7s7,1,1,1,1,1,1,1,20240102,20240105
13_Mardi,0,1,0,0,0,0,0,20240102,20240105
13_Mercredi,0,0,1,0,0,0,0,20240102,20240105
13_Jeudi,0,0,0,1,0,0,0,20240102,20240105
13_Vendredi,0,0,0,0,1,0,0,20240102,20240105
13_Lune,0,0,0,1,1,0,0,20240102,20240105
13_MeS,0,0,1,0,0,1,0,20240102,20240105
13_LAJ,1,1,1,1,0,0,0,20240102,20240105
13_MaàV,0,1,1,1,1,0,0,20240102,20240105
24_SDF,0,0,0,0,0,1,1,20231225,20240101
24_7s7,1,1,1,1,1,1,1,20231225,20240101
24_Dimanche,0,0,0,0,0,0,1,20231225,20240101
25_LAS,1,1,1,1,1,1,0,20231230,20231230
25_SDF,0,0,0,0,0,1,1,20231230,20231230
25_7s7,1,1,1,1,1,1,1,20231230,20231230
25_Samedi,0,0,0,0,0,1,0,20231230,20231230
25_MeS,0,0,1,0,0,1,0,20231230,20231230
27_SDF,0,0,0,0,0,1,1,20240107,20240107
27_7s7,1,1,1,1,1,1,1,20240107,20240107
27_Dimanche,0,0,0,0,0,0,1,20240107,20240107
