service_id,date,exception_type
20_LAS,20240127,2
20_SDF,20240127,2
20_7s7,20240127,2
20_Samedi,20240127,2
20_MeS,20240127,2
20_SDF,20240128,2
20_7s7,20240128,2
20_Dimanche,20240128,2
20_LMJV,20240130,2
20_LAV,20240130,2
20_LAS,20240130,2
20_7s7,20240130,2
20_Mardi,20240130,2
20_LAJ,20240130,2
20_MaàV,20240130,2
20_LMJV,20240201,2
20_LAV,20240201,2
20_LAS,20240201,2
20_7s7,20240201,2
20_Jeudi,20240201,2
20_Lune,20240201,2
20_LAJ,20240201,2
20_MaàV,20240201,2
20_LAS,20240203,2
20_SDF,20240203,2
20_7s7,20240203,2
20_Samedi,20240203,2
20_MeS,20240203,2
20_SDF,20240204,2
20_7s7,20240204,2
20_Dimanche,20240204,2
20_LMJV,20240206,2
20_LAV,20240206,2
20_LAS,20240206,2
20_7s7,20240206,2
20_Mardi,20240206,2
20_LAJ,20240206,2
20_MaàV,20240206,2
20_LMJV,20240208,2
20_LAV,20240208,2
20_LAS,20240208,2
20_7s7,20240208,2
20_Jeudi,20240208,2
20_Lune,20240208,2
20_LAJ,20240208,2
20_MaàV,20240208,2
20_LAS,20240210,2
20_SDF,20240210,2
20_7s7,20240210,2
20_Samedi,20240210,2
20_MeS,20240210,2
20_SDF,20240211,2
20_7s7,20240211,2
20_Dimanche,20240211,2
20_LMJV,20240213,2
20_LAV,20240213,2
20_LAS,20240213,2
20_7s7,20240213,2
20_Mardi,20240213,2
20_LAJ,20240213,2
20_MaàV,20240213,2
20_LMJV,20240215,2
20_LAV,20240215,2
20_LAS,20240215,2
20_7s7,20240215,2
20_Jeudi,20240215,2
20_Lune,20240215,2
20_LAJ,20240215,2
20_MaàV,20240215,2
21_SDF,20240128,2
21_7s7,20240128,2
21_Dimanche,20240128,2
21_LMJV,20240129,2
21_LAV,20240129,2
21_LAS,20240129,2
21_7s7,20240129,2
21_Lundi,20240129,2
21_LAJ,20240129,2
21_LMJV,20240130,2
21_LAV,20240130,2
21_LAS,20240130,2
21_7s7,20240130,2
21_Mardi,20240130,2
21_LAJ,20240130,2
21_MaàV,20240130,2
21_LAV,20240131,2
21_LAS,20240131,2
21_7s7,20240131,2
21_Mercredi,20240131,2
21_MeS,20240131,2
21_LAJ,20240131,2
21_MaàV,20240131,2
21_LMJV,20240201,2
21_LAV,20240201,2
21_LAS,20240201,2
21_7s7,20240201,2
21_Jeudi,20240201,2
21_Lune,20240201,2
21_LAJ,20240201,2
21_MaàV,20240201,2
21_LMJV,20240202,2
21_LAV,20240202,2
21_LAS,20240202,2
21_7s7,20240202,2
21_Vendredi,20240202,2
21_Lune,20240202,2
21_MaàV,20240202,2
21_SDF,20240204,2
21_7s7,20240204,2
21_Dimanche,20240204,2
21_LMJV,20240205,2
21_LAV,20240205,2
21_LAS,20240205,2
21_7s7,20240205,2
21_Lundi,20240205,2
21_LAJ,20240205,2
21_LMJV,20240206,2
21_LAV,20240206,2
21_LAS,20240206,2
21_7s7,20240206,2
21_Mardi,20240206,2
21_LAJ,20240206,2
21_MaàV,20240206,2
21_LAV,20240207,2
21_LAS,20240207,2
21_7s7,20240207,2
21_Mercredi,20240207,2
21_MeS,20240207,2
21_LAJ,20240207,2
21_MaàV,20240207,2
21_LMJV,20240208,2
21_LAV,20240208,2
21_LAS,20240208,2
21_7s7,20240208,2
21_Jeudi,20240208,2
21_Lune,20240208,2
21_LAJ,20240208,2
21_MaàV,20240208,2
21_LMJV,20240209,2
21_LAV,20240209,2
21_LAS,20240209,2
21_7s7,20240209,2
21_Vendredi,20240209,2
21_Lune,20240209,2
21_MaàV,20240209,2
21_SDF,20240211,2
21_7s7,20240211,2
21_Dimanche,20240211,2
21_LMJV,20240212,2
21_LAV,20240212,2
21_LAS,20240212,2
21_7s7,20240212,2
21_Lundi,20240212,2
21_LAJ,20240212,2
21_LMJV,20240213,2
21_LAV,20240213,2
21_LAS,20240213,2
21_7s7,20240213,2
21_Mardi,20240213,2
