stop_id,stop_name
4-6,Beaux Arts
4-8,Préfecture
4-9,Notre Dame
4-10,JJ Rousseau
4-11,Beaux Arts
4-13,Cordeliers
4-14,Roussin
4-15,Bossuet
4-16,Poste
4-17,Boulanger
4-18,Défense
4-19,Creux dEnfer
4-20,Champmaillot
4-21,Lycée H.Fontaine
4-22,Saumaise
4-23,St-Michel
4-24,Auditorium
4-25,Auditorium
4-28,Spuller
4-29,Génois
4-30,Ziem
4-31,St Mesmin
4-32,Clomiers
4-34,Chaumières
4-35,Herriot
4-36,La Fillotte
4-37,Moulissards
4-38,Nachey
4-39,Jouvet
4-40,Picasso
4-42,Rétisseys
4-43,Neruda
4-44,Talant Dullin
4-45,République
4-46,Parvis St-Jean
4-47,Clématites
4-49,J. Moulin
4-56,Lycée Boivin
4-57,Bois du Roy
4-58,Visitation
4-59,Lycée de Serres
4-60,Atria
4-61,Quetignerot
4-62,Neruda
4-63,Rétisseys
4-65,Picasso
4-66,Jouvet
4-67,Nachey
4-68,Moulissards
4-69,La Fillotte
4-70,Herriot
4-71,Chaumières
4-73,Clomiers
4-74,St Mesmin
4-75,Ziem
4-76,Génois
4-77,Spuller
4-78,Square Darcy
4-82,Théatre
4-83,Saumaise
4-84,Lycée H. Fontaine
4-86,Champmaillot
4-87,Creux dEnfer
4-88,Défense
4-89,Boulanger
4-98,Quetignerot
4-99,Atria
4-100,Lycée de Serres
4-101,Visitation
4-102,Bois du Roy
4-106,Fauconnet
4-107,CARSAT
4-108,CARSAT
4-109,Cracovie
4-110,Cracovie
4-112,Clématites
4-113,CHEVIGNY Mairie
4-117,Cromois
4-118,Ronde
4-119,Camus
4-120,Prévert
4-121,Allende
4-124,Les Ateliers
4-125,Longvic
4-126,Bief du Moulin
4-127,Longvic Mairie
4-128,FLAVIGNEROT
4-129,A. Patte
4-130,A. Patte
4-131,Valentin
4-132,Pommerets
4-133,Tamaris
4-134,Bourillot
4-135,Barbusse
4-136,Parc
4-137,Chancenotte
4-138,Piscine Carrousel
4-139,Le Nôtre
4-140,Princes de Condé
4-141,Wilson Carnot
4-142,Bibliothèque
4-143,Les Pins
4-144,Les Pins
4-145,SNCF Brifaut
4-146,Bagatelle
4-147,Corcelles les Monts
4-148,St-Francois
4-149,Marmuzots
4-150,Fontaine aux Fées
4-151,Libération
4-152,Fassoles
4-153,Côte aux Moines
4-154,Arbalétriers
4-155,Logis de Bourgogne
4-156,Corcelles les Monts
4-157,Combe à la Serpent
4-158,Pierrat
4-159,Combe à la Serpent
4-160,Lavoisier
4-161,Eiffel
4-162,Cent Ecus
4-164,Sembat
4-165,Vieux Bourg
4-166,Sembat
4-167,Fontaine
4-168,Logis de Bourgogne
4-169,Arbalétriers
4-170,Côte aux Moines
4-171,Fassoles
4-172,Libération
4-174,Marmuzots
4-175,St-Francois
4-176,Perrières
4-177,Bagatelle
4-178,SNCF Brifaut
4-180,Théatre
4-181,Bibliothèque
4-182,Wilson Sisley
4-183,Princes de Condé
4-184,Le Nôtre
4-185,Piscine Carrousel
4-186,Chancenotte
4-187,Parc
4-188,Barbusse
4-189,Bourillot
4-190,Tamaris
4-191,Pommerets
4-192,Valentin
4-193,Prévots
4-194,Blés dOr
4-195,Longvic Mairie
4-196,Bief du Moulin
4-197,Cap Vert
4-199,Eiffel
4-200,Pierrat
4-202,Cap Vert
4-203,Pisc. Olympique
4-205,Fontaine aux Fées
4-206,Darcy
4-207,Lavoisier
4-209,Dubois
4-212,Théatre
4-215,Carraz
4-234,Grangier
4-235,Bossuet
4-236,Zola
4-237,Monge
4-238,Carraz
4-244,Mairey
4-245,Gambetta
4-246,Bazin
4-248,Rue de Longvic
4-249,Foussets
4-250,Curie
4-251,Bicentenaire
4-252,Grands Crus
4-253,Langevin
4-254,Marsannay
4-256,Bicentenaire
4-257,Curie
4-258,Foussets
4-259,Rue de Longvic
4-261,Bazin
4-262,Gambetta
4-263,Mairey
4-270,Monge
4-271,Zola
4-272,Bossuet
4-273,Grangier
4-287,Chicago
4-289,Zipfel
4-290,Cimetière
4-291,Stade Poussots
4-292,Le Jolivet
4-293,Salengro
4-294,Guibaudet
4-295,Prison
4-296,De Musset
4-297,Cellerier
4-298,Rouen
4-300,Vieux Bourg
4-301,Houdart
4-302,Amandiers
4-303,Rue de Longvic
4-304,St Luc
4-305,Confrérie
4-306,Mare
4-307,Cottin
4-308,FONTAINE Village
4-309,Route de Beaune
4-310,Palissy
4-311,Cottin
4-312,Mare
4-313,Les Créots
4-314,St Luc
4-315,Palissy
4-316,Amandiers
4-317,Houdart
4-318,Route de Beaune
4-320,Rouen
4-321,Cellerier
4-322,Baudin
4-323,De Musset
4-324,Prison
4-325,Guibaudet
4-326,Salengro
4-327,Le Jolivet
4-328,Stade Poussots
4-329,Zipfel
4-330,Felizots
4-331,Ranelagh
4-332,Cimetière
4-334,Grands Crus
4-336,Zénith
4-337,Ranelagh
4-338,Jura
4-339,Jura
4-340,Université
4-343,Gresilles
4-344,Fontaine dOuche
4-345,Belin
4-346,Piscine
4-347,Champs Perdrix
4-348,Bachelard
4-350,Avenue du Lac
4-351,Gorgets
4-352,CHS La Chartreuse
4-353,Albert 1er
4-355,SNCF Vincenot
4-356,Billardon
4-357,St-Vincent de Paul
4-359,SNCF Porte Neuve
4-360,Strasbourg
4-361,Doumer
4-365,Billardon
4-366,Castelnau
4-367,Longènes
4-370,La Planchotte
4-372,Jacquat
4-373,Paquier dAupré
4-374,Opaline
4-375,Marie de Bourgogne
4-376,St-Apollinaire Val Sully
4-377,Marie de Bourgogne
4-378,Opaline
4-379,Paquier dAupré
4-380,Bouteiller
4-384,La Vigne
4-385,Longènes
4-386,Castelnau
4-387,Rente Neuve
4-391,Doumer
4-392,Strasbourg
4-393,SNCF Porte Neuve
4-394,Saint Laurent
4-395,Saint Laurent
4-396,SNCF Vincenot
4-397,Albert 1er
4-398,CHS La Chartreuse
4-399,Gorgets
4-400,Avenue du Lac
4-401,Bizet
4-402,Bachelard
4-403,Champs Perdrix
4-404,Piscine
4-405,Belin
4-406,Parc de la Colombière
4-407,Ravel
4-409,Attiret
4-410,Bizet
4-411,Blanchisseries
4-412,ESPE
4-413,Bordot
4-414,Dumont
4-415,Hoin
4-416,Ghys
4-417,Saint Martin
4-418,Glaieuls
4-419,Morvan
4-420,Camélias
4-421,Pisc. Olympique
4-422,Comp. Funeraire
4-423,Félizots
4-424,Les Charmes
4-425,Monnet
4-426,Ratel
4-427,Belfontaine
4-429,Rue du Port
4-430,Romelet
4-431,Ecole des Métiers
4-432,Bertin
