route_id,service_id,shape_id,trip_id,trip_headsign,trip_short_name,direction_id
4-10,20_LAV,4-10-A-1,20-10-1-1-050900,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-1-1-055300,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-2-1-055800,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-3-1-061800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-4-1-062100,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-5-1-063700,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-1-1-064200,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-2-1-065200,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-3-1-070000,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-4-1-070800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-5-1-072000,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-6-1-072300,TALANT Citadelle,,1
4-10,20_LAV,4-10-R-2,20-10-1-1-073800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-2-1-074000,AHUY,,0
4-10,20_LAV,4-10-A-1,20-10-4-1-075800,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-3-1-075800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-6-1-081800,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-5-1-082100,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-1-1-083700,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-2-1-084400,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-3-1-085800,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-4-1-090600,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-5-1-092100,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-1-1-093100,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-2-1-094500,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-3-1-095400,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-4-1-100700,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-5-1-101600,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-1-1-103000,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-2-1-103800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-3-1-105200,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-4-1-110000,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-5-1-111400,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-1-1-112100,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-2-1-113400,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-3-1-114200,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-4-1-115600,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-5-1-120400,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-1-1-121900,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-2-1-122600,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-3-1-124100,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-4-1-124800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-5-1-130200,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-1-1-131000,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-2-1-132400,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-3-1-133300,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-4-1-134600,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-5-1-135500,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-1-1-140800,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-2-1-141700,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-3-1-143000,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-4-1-143900,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-5-1-145100,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-1-1-150100,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-2-1-151100,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-3-1-152300,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-4-1-153200,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-5-1-154500,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-1-1-155200,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-2-1-160800,TALANT Citadelle,,1
4-10,20_LAV,4-10-A-1,20-10-6-1-161000,AHUY,,0
4-10,20_LAV,4-10-R-2,20-10-4-1-162800,TALANT Citadelle,,1
