trip_id,stop_id,direction_id,arrival_delay,arrival_time,departure_delay,departure_time,schedule_relationship
13-T2-7-1-090044,4-1462,0,-48,1698740195,-4,1698740239,SCHEDULED
13-T2-7-1-090044,4-1528,0,-55,1698740285,-10,1698740330,SCHEDULED
13-T2-7-1-090044,4-1477,0,-75,1698740388,-5,1698740458,SCHEDULED
13-T2-7-1-090044,4-1465,0,-55,1698740528,-16,1698740567,SCHEDULED
13-T2-7-1-090044,4-1472,0,-65,1698740623,-20,1698740668,SCHEDULED
13-T2-7-1-090044,4-1475,0,-75,1698740733,-35,1698740773,SCHEDULED
13-T2-7-1-090044,4-1466,0,-64,1698740853,-64,1698740853,SCHEDULED
13-T2-7-1-090044,4-1484,0,-64,1698740977,-64,1698740977,SCHEDULED
13-T2-7-1-090044,4-1487,0,-30,1698741086,-30,1698741086,SCHEDULED
13-T2-7-1-090044,4-1532,0,-55,1698741211,-55,1698741211,SCHEDULED
13-T2-7-1-090044,4-1531,0,-30,1698741326,-30,1698741326,SCHEDULED
13-T2-7-1-090044,4-1668,0,-49,1698741378,-49,1698741378,SCHEDULED
13-T2-7-1-094801,4-1509,1,-414,1698741667,0,1698742081,SCHEDULED
13-T2-7-1-094801,4-1538,1,0,1698742169,0,1698742169,SCHEDULED
13-T2-7-1-094801,4-1539,1,0,1698742257,0,1698742257,SCHEDULED
13-T2-7-1-094801,4-1518,1,0,1698742411,0,1698742411,SCHEDULED
13-T2-7-1-094801,4-1514,1,0,1698742473,0,1698742473,SCHEDULED
13-T2-7-1-094801,4-1498,1,0,1698742595,0,1698742595,SCHEDULED
13-T2-7-1-094801,4-1508,1,0,1698742705,0,1698742705,SCHEDULED
13-T2-7-1-094801,4-1505,1,0,1698742818,0,1698742818,SCHEDULED
13-T2-7-1-094801,4-1497,1,0,1698742925,0,1698742925,SCHEDULED
13-T2-7-1-094801,4-1510,1,0,1698743061,0,1698743061,SCHEDULED
13-T2-7-1-094801,4-1536,1,0,1698743192,0,1698743192,SCHEDULED
13-T2-7-1-094801,4-1494,1,0,1698743289,0,1698743289,SCHEDULED
13-T2-7-1-094801,4-1499,1,0,1698743359,0,1698743359,SCHEDULED
13-T2-7-1-094801,4-1537,1,0,1698743552,0,1698743552,SCHEDULED
13-T2-7-1-094801,4-1507,1,0,1698743652,0,1698743652,SCHEDULED
13-T2-7-1-094801,4-1504,1,0,1698743747,0,1698743747,SCHEDULED
13-T2-7-1-094801,4-1490,1,0,1698743859,0,1698743859,SCHEDULED
13-T2-7-1-094801,4-1502,1,0,1698743944,0,1698743944,SCHEDULED
13-T2-7-1-094801,4-1540,1,0,1698744059,0,1698744059,SCHEDULED
13-T2-7-1-094801,4-1496,1,0,1698744179,0,1698744179,SCHEDULED
13-T2-7-1-094801,4-1459,1,0,1698744319,0,1698744319,SCHEDULED
13-T2-8-1-085309,4-1534,0,-509,1698738280,20,1698738809,SCHEDULED
13-T2-8-1-085309,4-1464,0,-4,1698738905,26,1698738935,SCHEDULED
13-T2-8-1-085309,4-1533,0,-14,1698739015,20,1698739049,SCHEDULED
13-T2-8-1-085309,4-1469,0,-34,1698739105,3,1698739142,SCHEDULED
13-T2-8-1-085309,4-1457,0,-41,1698739195,2,1698739238,SCHEDULED
13-T2-8-1-085309,4-1471,0,-34,1698739290,6,1698739330,SCHEDULED
13-T2-8-1-085309,4-1474,0,-24,1698739385,16,1698739425,SCHEDULED
13-T2-8-1-085309,4-1530,0,-28,1698739480,22,1698739530,SCHEDULED
13-T2-8-1-085309,4-1467,0,-31,1698739655,24,1698739710,SCHEDULED
13-T2-8-1-085309,4-1462,0,-33,1698739750,14,1698739797,SCHEDULED
13-T2-8-1-085309,4-1528,0,-35,1698739845,41,1698739921,SCHEDULED
13-T2-8-1-085309,4-1477,0,-8,1698739995,77,1698740080,SCHEDULED
13-T2-8-1-085309,4-1465,0,32,1698740155,71,1698740194,SCHEDULED
