c1,c2,c3,c4,c5
'1542','Auditorium','274400518|274399749|274401798','T1','A'
'1545','Cap Vert','274400527|274399758|274401807','T1','A'
'1546','CHU - Hôpitaux','274400522|274399753|274401802','T1','A'
'1462','Darcy','274400515|274399746|274401795','T1','A'
'1585','DIJON Gare','274400513|274401793','T1','A'
'1550','Erasme','274400523|274399754|274401803','T1','A'
'1467','Foch Gare','274400514|274399745|274401794','T1','A'
'1528','Godrans 1','274400516|274399747|274401796','T1','A'
'1543','Grand Marché','274400528|274399759|274401808','T1','A'
'1555','Grésilles','274400520|274399751|274401800','T1','A'
'1556','Mazen Sully','274400525|274399756|274401805','T1','A'
'1557','Parc des Sports','274400521|274399752|274401801','T1','A'
'1580','Piscine Olympique','274400526|274399757|274401806','T1','A'
'1558','Poincaré','274400519|274399750|274401799','T1','A'
'1559','QUETIGNY Centre','274400529|274399760|274401809','T1','A'
'1560','République T1','274400517|274399748|274401797','T1','A'
'1544','Université','274400524|274399755|274401804','T1','A'
'1562','Auditorium','274433036|274434316|274433548','T1','R'
'1565','Cap Vert','274433027|274434307|274433539','T1','R'
'1566','CHU - Hôpitaux','274433032|274434312|274433544','T1','R'
'1494','Darcy','274433039|274434319|274433551','T1','R'
'1585','DIJON Gare','274433041|274434321','T1','R'
'1569','Erasme','274433031|274434311|274433543','T1','R'
'1499','Foch Gare','274433040|274434320|274433552','T1','R'
'1536','Godrans 2','274433038|274434318|274433550','T1','R'
'1563','Grand Marché','274433026|274434306|274433538','T1','R'
'1571','Grésilles','274433034|274434314|274433546','T1','R'
'1572','Mazen Sully','274433029|274434309|274433541','T1','R'
'1573','Parc des Sports','274433033|274434313|274433545','T1','R'
'1581','Piscine Olympique','274433028|274434308|274433540','T1','R'
'1574','Poincaré','274433035|274434315|274433547','T1','R'
'1575','QUETIGNY Centre','274433025|274434305|274433537','T1','R'
'1576','République T1','274433037|274434317|274433549','T1','R'
'1564','Université','274433030|274434310|274433542','T1','R'
'1474','1er Mai','274465283|274467079|274466823','T2','A'
'1457','Bourroches','274465281|274467077|274466821','T2','A'
'1469','Carraz','274467076|274466820','T2','A'
'1459','CHENÔVE Centre','274467073|274466817','T2','A'
'1462','Darcy','274465286|274467082|274466826','T2','A'
'1668','DIJON Valmy','274465297|274467093|274466837','T2','A'
'1465','Drapeau','274465289|274467085|274466829','T2','A'
'1466','Europe','274465292|274467088|274466832','T2','A'
'1467','Foch Gare','274465285|274467081|274466825','T2','A'
'1531','Giroud','274465296|274467092|274466836','T2','A'
'1528','Godrans 1','274465287|274467083|274466827','T2','A'
